"group","position","value","feature"
"Mock",-259,0.129310344827586,"IRF1"
"Mock",-258,0.146551724137931,"IRF1"
"Mock",-257,0.129310344827586,"IRF1"
"Mock",-256,0.172413793103448,"IRF1"
"Mock",-255,0.181034482758621,"IRF1"
"Mock",-254,0.206896551724138,"IRF1"
"Mock",-253,0.181034482758621,"IRF1"
"Mock",-252,0.189655172413793,"IRF1"
"Mock",-251,0.181034482758621,"IRF1"
"Mock",-250,0.155172413793103,"IRF1"
"Mock",-249,0.163793103448276,"IRF1"
"Mock",-248,0.155172413793103,"IRF1"
"Mock",-247,0.155172413793103,"IRF1"
"Mock",-246,0.172413793103448,"IRF1"
"Mock",-245,0.198275862068966,"IRF1"
"Mock",-244,0.206896551724138,"IRF1"
"Mock",-243,0.25,"IRF1"
"Mock",-242,0.155172413793103,"IRF1"
"Mock",-241,0.155172413793103,"IRF1"
"Mock",-240,0.224137931034483,"IRF1"
"Mock",-239,0.21551724137931,"IRF1"
"Mock",-238,0.181034482758621,"IRF1"
"Mock",-237,0.137931034482759,"IRF1"
"Mock",-236,0.146551724137931,"IRF1"
"Mock",-235,0.137931034482759,"IRF1"
"Mock",-234,0.146551724137931,"IRF1"
"Mock",-233,0.137931034482759,"IRF1"
"Mock",-232,0.172413793103448,"IRF1"
"Mock",-231,0.103448275862069,"IRF1"
"Mock",-230,0.146551724137931,"IRF1"
"Mock",-229,0.181034482758621,"IRF1"
"Mock",-228,0.137931034482759,"IRF1"
"Mock",-227,0.21551724137931,"IRF1"
"Mock",-226,0.189655172413793,"IRF1"
"Mock",-225,0.146551724137931,"IRF1"
"Mock",-224,0.112068965517241,"IRF1"
"Mock",-223,0.112068965517241,"IRF1"
"Mock",-222,0.120689655172414,"IRF1"
"Mock",-221,0.163793103448276,"IRF1"
"Mock",-220,0.137931034482759,"IRF1"
"Mock",-219,0.0862068965517241,"IRF1"
"Mock",-218,0.146551724137931,"IRF1"
"Mock",-217,0.120689655172414,"IRF1"
"Mock",-216,0.120689655172414,"IRF1"
"Mock",-215,0.120689655172414,"IRF1"
"Mock",-214,0.172413793103448,"IRF1"
"Mock",-213,0.198275862068966,"IRF1"
"Mock",-212,0.163793103448276,"IRF1"
"Mock",-211,0.155172413793103,"IRF1"
"Mock",-210,0.129310344827586,"IRF1"
"Mock",-209,0.137931034482759,"IRF1"
"Mock",-208,0.146551724137931,"IRF1"
"Mock",-207,0.189655172413793,"IRF1"
"Mock",-206,0.112068965517241,"IRF1"
"Mock",-205,0.146551724137931,"IRF1"
"Mock",-204,0.181034482758621,"IRF1"
"Mock",-203,0.120689655172414,"IRF1"
"Mock",-202,0.0948275862068965,"IRF1"
"Mock",-201,0.25,"IRF1"
"Mock",-200,0.137931034482759,"IRF1"
"Mock",-199,0.189655172413793,"IRF1"
"Mock",-198,0.172413793103448,"IRF1"
"Mock",-197,0.198275862068966,"IRF1"
"Mock",-196,0.258620689655172,"IRF1"
"Mock",-195,0.206896551724138,"IRF1"
"Mock",-194,0.198275862068966,"IRF1"
"Mock",-193,0.172413793103448,"IRF1"
"Mock",-192,0.155172413793103,"IRF1"
"Mock",-191,0.21551724137931,"IRF1"
"Mock",-190,0.21551724137931,"IRF1"
"Mock",-189,0.163793103448276,"IRF1"
"Mock",-188,0.181034482758621,"IRF1"
"Mock",-187,0.155172413793103,"IRF1"
"Mock",-186,0.172413793103448,"IRF1"
"Mock",-185,0.232758620689655,"IRF1"
"Mock",-184,0.120689655172414,"IRF1"
"Mock",-183,0.163793103448276,"IRF1"
"Mock",-182,0.155172413793103,"IRF1"
"Mock",-181,0.21551724137931,"IRF1"
"Mock",-180,0.146551724137931,"IRF1"
"Mock",-179,0.155172413793103,"IRF1"
"Mock",-178,0.129310344827586,"IRF1"
"Mock",-177,0.181034482758621,"IRF1"
"Mock",-176,0.137931034482759,"IRF1"
"Mock",-175,0.155172413793103,"IRF1"
"Mock",-174,0.0948275862068965,"IRF1"
"Mock",-173,0.129310344827586,"IRF1"
"Mock",-172,0.0775862068965517,"IRF1"
"Mock",-171,0.172413793103448,"IRF1"
"Mock",-170,0.120689655172414,"IRF1"
"Mock",-169,0.103448275862069,"IRF1"
"Mock",-168,0.0775862068965517,"IRF1"
"Mock",-167,0.0948275862068965,"IRF1"
"Mock",-166,0.103448275862069,"IRF1"
"Mock",-165,0.137931034482759,"IRF1"
"Mock",-164,0.172413793103448,"IRF1"
"Mock",-163,0.146551724137931,"IRF1"
"Mock",-162,0.172413793103448,"IRF1"
"Mock",-161,0.0603448275862069,"IRF1"
"Mock",-160,0.137931034482759,"IRF1"
"Mock",-159,0.181034482758621,"IRF1"
"Mock",-158,0.163793103448276,"IRF1"
"Mock",-157,0.137931034482759,"IRF1"
"Mock",-156,0.0517241379310345,"IRF1"
"Mock",-155,0.129310344827586,"IRF1"
"Mock",-154,0.224137931034483,"IRF1"
"Mock",-153,0.189655172413793,"IRF1"
"Mock",-152,0.189655172413793,"IRF1"
"Mock",-151,0.155172413793103,"IRF1"
"Mock",-150,0.112068965517241,"IRF1"
"Mock",-149,0.181034482758621,"IRF1"
"Mock",-148,0.189655172413793,"IRF1"
"Mock",-147,0.181034482758621,"IRF1"
"Mock",-146,0.0775862068965517,"IRF1"
"Mock",-145,0.0948275862068965,"IRF1"
"Mock",-144,0.155172413793103,"IRF1"
"Mock",-143,0.206896551724138,"IRF1"
"Mock",-142,0.189655172413793,"IRF1"
"Mock",-141,0.155172413793103,"IRF1"
"Mock",-140,0.129310344827586,"IRF1"
"Mock",-139,0.112068965517241,"IRF1"
"Mock",-138,0.129310344827586,"IRF1"
"Mock",-137,0.172413793103448,"IRF1"
"Mock",-136,0.241379310344828,"IRF1"
"Mock",-135,0.163793103448276,"IRF1"
"Mock",-134,0.0948275862068965,"IRF1"
